character,hun_eum,components_norm,components_detail,comp_status,title,link,content
單,홑 단,,,none,홑 단(單),http://tonghanja.com/%ed%99%91-%eb%8b%a8%e5%96%ae/,"單 .4급Ⅱ 투석구( )에서 나가는( ) 돌( ) 은? 투석구 에서 나가는 돌 은 ‘ 홑 ’이지요. 홑 단 단 방 (單 放 : 홑 방/ 단 한 방의 발사 ) , 단번(單番), 단일(單一) * 투석구(投石具): 길이 2미터 정도의 끈에 돌을 넣어 돌리는 간단한 무기. 끈의 양쪽 끝을 잡고 돌려 힘을 실은 후, 한쪽을 놓으면 돌이 빠르게 날아감."
脚,다리 각,卩去月,月(고기(몸) 육) 去(갈 거) 卩(병부(무릎 굽힐) 절),ok,다리 각(脚),http://tonghanja.com/%eb%8b%a4%eb%a6%ac-%ea%b0%81%e8%84%9a/,"脚 .3급Ⅱ 月: 고기(몸) 육 去: 갈 거 卩: 병부(무릎 굽힐) 절 몸(月)의 부위인데 가려고(去) 무릎을 굽히는(卩) 곳은? 몸 의 부위인데 가려고 무릎 을 굽히는 곳은 ‘ 다리 ’이지요. 다리 각 양 각 ( 兩 脚: 두 다리) , 교각(橋脚), 각선미(脚線美)"
却,물리칠 각,卩去,去(갈 거) 卩(병부(무릎 굽힐) 절),ok,물리칠 각(却),http://tonghanja.com/%eb%ac%bc%eb%a6%ac%ec%b9%a0-%ea%b0%81%e5%8d%b4/,"却 .3급 去: 갈 거 卩: 병부(무릎 굽힐) 절 무릎 굽힌(卩) 이를 가게(去)하는 것은? 나에게 무릎 굽힌 이를 밖으로 나 가게 하는 것은 ‘ 물리침 ’이지요. 물리칠 각 퇴 각 ( 退 却 : 뒤로 물러남/ 금품 따위를 물리침) , 기각(棄却), 각하(却下) * ‘却’은 무릎 굽힌 이가 밖으로 나가는 것인 ‘물러남’을 뜻하여 ‘물러날 각’이라고도 합니다."
蓋,덮을 개,去皿艸,艹(풀 초) 去(갈 거) 皿(그릇 명),ok,덮을 개(蓋),http://tonghanja.com/%eb%8d%ae%ec%9d%84-%ea%b0%9c%e8%93%8b/,"蓋 .3급Ⅱ 艹: 풀 초 去: 갈 거 皿: 그릇 명 풀(艹)잎을 갈(去) 때 그릇(皿) 위에 올리는 것은? 풀 잎을, 밖으로 나 갈 때 음식이 담긴 그릇 위에 올리는 것은 ‘ 덮음 ’이지요. 덮을 개 무개차(無蓋車), 두개골(頭蓋骨), 구개음화(口蓋音化)"
法,법 법,去水,氵(물 수) 去(갈 거),ok,법 법(法),http://tonghanja.com/%eb%b2%95-%eb%b2%95%e6%b3%95/,"法 .5급Ⅱ 氵: 물 수 去: 갈 거 물(氵) 흘러가듯(去) 정하는 것은? 물 흘러 가듯 순리대로 정하는 것은 ‘ 법 ’이지요. 법 법 법 (法: 국가의 강제력을 수반하는 사회 규범 ) , 법률(法律), 법규(法規)"
去,갈 거,,,none,갈 거(去),http://tonghanja.com/%ea%b0%88-%ea%b1%b0%e5%8e%bb/,"去 .5급 사람(土)이 굴방(厶)을 나가는 것은? 사람 이 굴방 을 나가는 것은 ‘ 감 ’이지요. 갈 거 거 취 (去 就: 사람이 어디로 가거나 다니거나 하는 일 ) , 거래(去來), 과거(過去)"
耶,어조사 야,耳,耳(귀 이  ⻏: 고을 읍),ok,어조사 야(耶),http://tonghanja.com/%ec%96%b4%ec%a1%b0%ec%82%ac-%ec%95%bc%e8%80%b6/,"耶 .3급 耳: 귀 이 ⻏: 고을 읍 귀(耳)로 고을(⻏)의 소문을 들을 때 하는 말은? 귀 로 고을 의 의문스러운 소문을 들을 때 하는 말은 ‘ 어조사 (語助辭) 야’이지요. 어조사 야 야 (耶: 문장의 뒤에서 의문을 나타날 때 쓰는 어조사) , 유야무야(有耶無耶)"
邪,간사할 사,牙阝,牙(어금니 아) 阝(고을 읍),ok,간사할 사(邪),http://tonghanja.com/%ea%b0%84%ec%82%ac%ed%95%a0-%ec%82%ac%e9%82%aa/,"邪 .3급Ⅱ 牙: 어금니 아 阝: 고을 읍 어금니(牙)로 고을(阝)에서 남을 씹는 것은? 어금니 로 고을 에서 남을 씹고 다니는 것은 ‘ 간사함 ’이지요. 간사할 사 간 사 ( 奸 邪: 나쁜 꾀를 부리는 등 마음이 바르지 않음 *奸·1급·간사할 간 ) , 사악(邪惡), 사심(邪心)"
雅,맑을 아,牙隹,牙(어금니 아) 隹(새 추),ok,맑을 아(雅),http://tonghanja.com/%eb%a7%91%ec%9d%84-%ec%95%84%e9%9b%85/,"雅 .3급Ⅱ 牙: 어금니 아 隹: 새 추 어금니(牙) 가는 듯한 새(隹)의 소리는? 어금니 가는 듯한, 새 의 “짹짹” 소리는 ‘ 맑음 ’이지요. 맑을 아 청 아 ( 淸 雅: 맑음) , 우아(優雅), 아담(雅淡)"
芽,싹 아,牙艸,艹(풀 초) 牙(어금니 아),ok,싹 아(芽),http://tonghanja.com/%ec%8b%b9-%ec%95%84%e8%8a%bd/,"芽 .3급Ⅱ 艹: 풀 초 牙: 어금니 아 풀(艹)인데 어금니(牙) 같은 것은? 풀 인데 잇몸 위로 솟은 어금니 같이 땅 위로 솟은 것은 ‘ 싹 ’이지요. 싹 아 맹 아 ( 萌 芽: 싹 *萌·1급·싹 맹 ) , 발아(發芽), 출아(出芽)"
牙,어금니 아,,,none,어금니 아(牙),http://tonghanja.com/%ec%96%b4%ea%b8%88%eb%8b%88-%ec%95%84%e7%89%99/,"牙 .3급Ⅱ 치관( )과 치근( )으로 된 것은? ‘ 牙 ’는 넓은 치관 과 갈라진 치근 으로 된 ‘ 어금니 ’를 나타낸 글자입니다. 어금니 아 치 아 ( 齒 牙: 이 ) , 상아(象牙)"
齒,이 치,止,止(그칠) 지(모양),ok,이 치(齒),http://tonghanja.com/%ec%9d%b4-%ec%b9%98%e9%bd%92/,"齒 .4급Ⅱ 止: 그칠 지 : 모양 그쳐(止) 있는 이( )는? 뿌리가 잇몸에 그쳐 있는 이 는 ‘ 이 ’이지요. 이 치 치 아 (齒 牙 : 이) , 치과(齒科), 치약(齒藥)"
蒼,푸를 창,倉艸,艹(풀 초) 倉(곳집(창고) 창),ok,푸를 창(蒼),http://tonghanja.com/%ed%91%b8%eb%a5%bc-%ec%b0%bd%e8%92%bc/,"蒼 .3급Ⅱ 艹: 풀 초 倉: 곳집(창고) 창 풀(艹)이 창고(倉)를 뒤덮은 색깔은? 덩굴 풀 이 창고 를 뒤덮은 색깔은 ‘ 푸름 ’이지요. 푸를 창 창창 (蒼蒼: 매우 푸름) , 창공(蒼空), 창천(蒼天)"
創,비롯할 창,倉刀,倉(곳집(창고) 창) 刂(칼 도),ok,비롯할 창(創),http://tonghanja.com/%eb%b9%84%eb%a1%af%ed%95%a0-%ec%b0%bd%e5%89%b5/,"創 .4급Ⅱ 倉: 곳집(창고) 창 刂: 칼 도 창고(倉)에서 칼(刂)로 작품을 만드는 것은? 창고 에서 칼 로 재료를 깎거나 잘라 작품을 만드는 것은 ‘ 비롯함 ’이지요. 비롯할 창 창 작 (創 作 : 비롯하여 지음 ) , 창조(創造), 창출(創出) * 비롯하다: 어떤 사물이 처음으로 시작되다 또는 시작하다"
倉,곳집 창,,양(戶(지게 호)의 이형  ㅁ: 모양),image,곳집 창(倉),http://tonghanja.com/%ea%b3%b3%ec%a7%91-%ec%b0%bd%e5%80%89/,倉 .3급Ⅱ : 모양 : 戶(지게 호)의 이형 ㅁ: 모양 지붕( )과 지게( )와 저장고(ㅁ)로 된 것은? 지붕 과 지게 와 저장고 로 된 것은 ‘ 곳집 (庫집)’이지요. 곳집 창 창 고 (倉 庫 : 곳집)
惠,은혜 혜,心,心(마음 심),ok,은혜 혜(惠),http://tonghanja.com/%ec%9d%80%ed%98%9c-%ed%98%9c%e6%83%a0/,"惠 .4급Ⅱ : 專(실뭉치 전)의 이형 心: 마음 심 실뭉치( )에 실을 감는 이의 마음(心)은? 실뭉치 에 실을 감는 이인 어머니의 마음 은 ‘ 은혜 ’이지요. 은혜 혜 은 혜 ( 恩 惠: 고맙게 베풀어 주는 신세나 혜택 ) , 특혜(特惠), 혜택(惠澤) * ‘惠’는 원래 ‘專’과 ‘心’으로 이루어진 글자였으나, 후에 편의상 ‘寸’이 생략 되었답니다."
團,둥글 단,囗專,囗(모양) 專(오로지(실뭉치) 전),ok,둥글 단(團),http://tonghanja.com/%eb%91%a5%ea%b8%80-%eb%8b%a8%e5%9c%98/,"團 .5급Ⅱ 囗: 모양 專: 오로지(실뭉치) 전 감은(囗) 실뭉치(專)의 모양은? 감은 실뭉치 의 모양은 ‘ 둥긂 ’이지요. 둥글 단 단 결 (團 結 : 둥글게 맺음/ 많은 사람이 마음과 힘을 한데 뭉침 ) , 단합(團合), 집단(集團)"
轉,구를 전,專車,車(수레 차) 專(오로지(실뭉치) 전),ok,구를 전(轉),http://tonghanja.com/%ea%b5%ac%eb%a5%bc-%ec%a0%84%e8%bd%89/,"轉 .4급 車: 수레 차 專: 오로지(실뭉치) 전 수레(車)의 바퀴처럼 실뭉치(專)가 하는 것은? 실을 감을 때, 수레 의 바퀴처럼 실뭉치 가 하는 것은 ‘ 구름 ’이지요. 구를 전 회 전 ( 回 轉: 돌아서 구름) , 자전(自轉), 운전(運轉)"
傳,전할 전,人專,亻(사람 인) 專(오로지(실뭉치) 전),ok,전할 전(傳),http://tonghanja.com/%ec%a0%84%ed%95%a0-%ec%a0%84%e5%82%b3/,"傳 .5급Ⅱ 亻: 사람 인 專: 오로지(실뭉치) 전 사람(亻)이 실뭉치(專)에 실을 감는 것은? 사람 이 실뭉치 에 실을 감는 것은 실뭉치에 실을 ‘ 전함 ’이지요. 전할 전 전 함 (傳 함 : 이곳에서 저곳으로 옮김 ) , 전달(傳達), 전수(傳授)"
專,오로지 전,,,none,오로지 전(專),http://tonghanja.com/%ec%98%a4%eb%a1%9c%ec%a7%80-%ec%a0%84%e5%b0%88/,"專 .4급 오른손( )으로 실뭉치(田)를 돌리며 실(厶)을 왼손(寸)으로 실뭉치에 전하는 것은? 오른손 으로 실뭉치 를 돌리며 실 을 왼 손 으로 실뭉치에 전하는 것은 ‘ 오로지 ’ 한 부문만 연구해야 얻을 수 있는 전문 기술이지요. 오로지 전 전 문 (專 門 : 오로지 한 부문만 연구함 ) , 전공(專攻), 전업(專業)"
雖,비록 수,虫隹,虫(벌레 충) 隹(새 추),ok,비록 수(雖),http://tonghanja.com/%eb%b9%84%eb%a1%9d-%ec%88%98%e9%9b%96/,雖 .3급 ㅁ: 입 구 虫: 벌레 충 隹: 새 추 입(ㅁ)으로 벌레(虫)를 새(隹)가 물고 다니는 것은? 입 으로 벌레 를 새 가 물고 다니는 것은 ‘ 비록 ’ 모습은 그러하나 새끼를 기르는 숭고한 일이지요. 비록 수 수 연 (雖 然 : 비록 그러하나 )
誰,누구 수,言隹,言(말씀(말) 언) 隹(새 추),ok,누구 수(誰),http://tonghanja.com/%eb%88%84%ea%b5%ac-%ec%88%98%e8%aa%b0/,"誰 .3급 言: 말씀(말) 언 隹: 새 추 말(言)을 새(隹)가 거는 대상은? 말 을, 홀로 지저귀는 새 가 거는 대상은 ‘ 누구 ’인가. 누구 수 수 하 (誰 何 : 누구)"
羅,벌일 라,維网,罒(그물 망) 維(벼리 유),ok,벌일 라(羅),http://tonghanja.com/%eb%b2%8c%ec%9d%bc-%eb%9d%bc%e7%be%85/,"羅 .4급Ⅱ 罒: 그물 망 維: 벼리 유 그물(罒)의 벼리(維)를 펴는 것은? 그물 의 벼리 를 펴는 것은 그물을 ‘ 벌임 ’이지요. 벌일 라 나 열 (羅 列 : 죽 벌임) , 나침반(羅針盤), 기라성(綺羅星)"
維,벼리 유,糸隹,糸(실(줄) 사) 隹(새 추),ok,벼리 유(維),http://tonghanja.com/%eb%b2%bc%eb%a6%ac-%ec%9c%a0%e7%b6%ad/,維 .3급Ⅱ 糸: 실(줄) 사 隹: 새 추 줄(糸)인데 새(隹)를 잡으려고 펴는 것은? 줄 인데 새 를 잡으려고 펴는 것은 ‘ 벼리 ’이지요. 벼리 유 유지(維持: 어떤 상태나 상황을 그대로 지속함) * 벼리: 그물의 위쪽 눈들을 꿰어놓은 줄
雄,수컷 웅,厶隹,급(모양) 厶(모양) 隹(새 추),ok,수컷 웅(雄),http://tonghanja.com/%ec%88%98%ec%bb%b7-%ec%9b%85%e9%9b%84/,"雄 .5급 : 모양 厶: 모양 隹: 새 추 날개를 폈다( ) 굽혔다(厶) 하는 새(隹)는? 날개를 폈다 굽혔다 하며 자신을 과시하는 새 는 ‘ 수컷 ’이지요. 수컷 웅 웅 조 (雄 鳥 : 수컷 새 ) , 웅장(雄壯), 영웅(英雄)"
治,다스릴 치,台水,氵(물 수) 台(기뻐할 태),ok,다스릴 치(治),http://tonghanja.com/%eb%8b%a4%ec%8a%a4%eb%a6%b4-%ec%b9%98%e6%b2%bb/,"治 .4급Ⅱ 氵: 물 수 台: 기뻐할 태 물(氵)을 기쁘게(台) 흐르게 하는 것은? 물 을 기쁘게 흐르게 하는 것은, 홍수의 피해를 막을 수 있게 수리 시설을 ‘ 다스림 ’이지요. 다스릴 치 치 수 (治 水 : 수리 시설을 다스림) , 통치(統治), 정치(政治)"
始,처음 시,台女,女(여자 녀) 台(기뻐할(태아) 태),ok,처음 시(始),http://tonghanja.com/%ec%b2%98%ec%9d%8c-%ec%8b%9c%e5%a7%8b/,"始 .6급Ⅱ 女: 여자 녀 台: 기뻐할(태아) 태 여자(女)가 태아(台)를 배는 것은? 여자 가 태아 를 배는 것은 태아 인생의 ‘ 처음 ’이지요. 처음 시 시 작 (始 作 : 어떤 것의 처음) , 시초(始初), 창시(創始)"
殆,위태할 태,台歹,歹(부서진 뼈(죽을) 알) 台(기뻐할(태아) 태),ok,위태할 태(殆),http://tonghanja.com/%ec%9c%84%ed%83%9c%ed%95%a0-%ed%83%9c%e6%ae%86/,殆 .3급Ⅱ 歹: 부서진 뼈(죽을) 알 台: 기뻐할(태아) 태 죽기(歹) 쉬운 태아(台)의 처지는? 죽기 쉬운 태아 의 처지는 ‘ 위태함 ’이지요. 위태할 태 위 태 ( 危 殆: 형세나 형편이 마음을 놓을 수 없을 정도로 안전하지 못함 )
怠,게으를 태,台心,台(기뻐할(태아) 태) 心(마음 심),ok,게으를 태(怠),http://tonghanja.com/%ea%b2%8c%ec%9c%bc%eb%a5%bc-%ed%83%9c%e6%80%a0-2/,"怠 .3급 台: 기뻐할(태아) 태 心: 마음 심 태아(台)같이 있으려는 마음(心)은? 태아 같이 가만히 있으려는, 마음 은 ‘ 게으름 ’이지요. 게으를 태 나 태 ( 懶 怠: 게으름 *懶·1급·게으를 라 ) , 태만(怠慢)"
台,기뻐할 태,,,none,기뻐할 태(台),http://tonghanja.com/%ea%b8%b0%eb%bb%90%ed%95%a0-%ed%83%9c%e5%8f%b0/,台 .1급Ⅱ 태아(台)가 생기면? 태아 가 생기면 사람들이 ‘ 기뻐함 ’이지요. 기뻐할 태
竊,훔칠 절,穴米,穴(굴(구멍)) 혈(모양) 米(쌀) 미(바구미 설),ok,훔칠 절(竊),http://tonghanja.com/%ed%9b%94%ec%b9%a0-%ec%a0%88%e7%ab%8a/,"竊 .3급 穴: 굴(구멍) 혈 : 모양 米: 쌀 미 : 바구미 설 구멍(穴)을 껍질( )과 쌀(米)에 내고 있는 바구미( )가 하는 것은? 구멍 을 껍질 과 쌀 에 내고 있는 바구미 가 하는 것은 쌀을 ‘ 훔침 ’이지요. 훔칠 절 절 도 (竊 盜 : 남의 것을 훔침) , 절취(竊取)"
擇,가릴 택,手睪,扌(손 수) 睪(엿볼 역),ok,가릴 택(擇),http://tonghanja.com/%ea%b0%80%eb%a6%b4-%ed%83%9d%e6%93%87/,"擇 .4급 扌: 손 수 睪: 엿볼 역 손(扌)을 엿보다가(睪) 내미는 것은? 손 을, 여럿을 엿보다가 하나에 내미는 것은 ‘ 가림 ’이지요. 가릴 택 선 택 ( 選 擇: 가림) , 채택(採擇), 택일(擇一)"
澤,못 택,水睪,氵(물 수) 睪(엿볼 역),ok,못 택(澤),http://tonghanja.com/%eb%aa%bb-%ed%83%9d%e6%be%a4/,"澤 .3급Ⅱ 氵: 물 수 睪: 엿볼 역 물(氵)속을 엿볼(睪) 수 있는 곳은? 물 속의 수초나 물고기 따위를 엿볼 수 있는 곳은 ‘ 못 ’이지요. 못 택 수 택 ( 水 澤: 물이 고인 못) , 윤택(潤澤), 광택(光澤) * ‘澤’은 못에서 나는 것인 ‘윤기’(潤氣: 반들거리는 기운)를 뜻하기도 합니다."
釋,풀 석,睪釆,釆(분별할 변) 睪(엿볼 역),ok,풀 석(釋),http://tonghanja.com/%ed%92%80-%ec%84%9d%e9%87%8b/,釋 .3급Ⅱ 釆: 분별할 변 睪: 엿볼 역 분별하는(釆) 건데 엿보며(睪) 하는 것은? 분별하는 건데 참고 자료 따위를 엿보며 하는 것은 ‘ 풂 ’이지요. 풀 석 해 석 ( 解 釋: 풂 또는 풀이 )
驛,역 역,睪馬,馬(말 마) 睪(엿볼 역),ok,역 역(驛),http://tonghanja.com/%ec%97%ad-%ec%97%ad%e9%a9%9b/,"驛 .3급Ⅱ 馬: 말 마 睪: 엿볼 역 말(馬)을 엿보며(睪) 고르는 곳은? 말 을 어느 놈이 잘 달릴지 엿보며 고르는 곳은 ‘ 역 ’이지요. 역 역 역 (驛: 관원에게 말을 공급하는 곳 ) , 역사(驛舍), 역전(驛前)"
譯,번역할 역,睪言,言(말씀(말) 언) 睪(엿볼 역),ok,번역할 역(譯),http://tonghanja.com/%eb%b2%88%ec%97%ad%ed%95%a0-%ec%97%ad%e8%ad%af/,"譯 .3급Ⅱ 言: 말씀(말) 언 睪: 엿볼 역 말(言)을 엿보며(睪) 하는 것은? 말 을 사전 따위에서 엿보며 하는 것은 ‘ 번역함 ’이지요. 번역할 역 번 역 ( 飜 譯: 한 나라의 말을 다른 나라의 말로 옮김 ) , 통역(通譯), 직역(直譯)"
睪,엿볼 역,幸网,罒(눈 목) 幸(다행(행복) 행),ok,엿볼 역(睪),http://tonghanja.com/%ec%97%bf%eb%b3%bc-%ec%97%ad%e7%9d%aa/,睪 .무급 罒: 눈 목 幸: 다행(행복) 행 눈(罒)이 행복(幸)해지는 것은? 눈 이 행복 해지는 것은 남의 것을 ‘ 엿봄 ’이지요. 엿볼 역
報,갚을 보,幸,幸(다행(행복)) 행(다스릴 복),ok,갚을 보(報),http://tonghanja.com/%ea%b0%9a%ec%9d%84-%eb%b3%b4%e5%a0%b1/,"報 .4급Ⅱ 幸: 다행(행복) 행 : 다스릴 복 행복(幸)을 다스리는( ) 방법은? 행복 을 다스리는 방법은 세상으로부터 받은 은혜를 도로 ‘ 갚음 ’이지요. 갚을 보 보 은 (報 恩 : 은혜를 갚음) , 보답(報答), 보복(報復)"
服,옷 복,月,月(고기(몸)) 육(다스릴 복),ok,옷 복(服),http://tonghanja.com/%ec%98%b7-%eb%b3%b5%e6%9c%8d/,"服 .6급 月: 고기(몸) 육 : 다스릴 복 몸(月)을 다스리려고( ) 입는 것은? 몸 을 ‘ 다스리려고 ’ 즉 ‘관리하려고’ 입는 것은 ‘ 옷 ’이지요. 옷 복 의 복 ( 衣 服: 옷) , 피복(被服), 복장(服裝)"
執,잡을 집,丸幸,幸(다행(행복) 행) 丸(둥글 환),ok,잡을 집(執),http://tonghanja.com/%ec%9e%a1%ec%9d%84-%ec%a7%91%e5%9f%b7/,"執 .3급Ⅱ 幸: 다행(행복) 행 丸: 둥글 환 행복(幸)을 놓치지 않으려고 둥글게(丸) 손을 마는 것은? 행복 을 놓치지 않으려고 둥글게 손을 마는 것은 ‘ 잡음 ’이지요. 잡을 집 집 착 (執 着 : 붙 잡음) , 집념(執念), 아집(我執)"
幸,다행 행,辛,辛(매울 신),ok,다행 행(幸),http://tonghanja.com/%eb%8b%a4%ed%96%89-%ed%96%89%e5%b9%b8/,"幸 .6급Ⅱ : 한 일 辛: 매울 신 한( ) 번 매운(辛) 맛을 보면 깨닫는 것은? 한 번 매운 맛을 보면 깨닫는 것은 ‘ 다행 ’이지요. 다행 행 다 행 ( 多 幸: 운이 좋음 ) , 행복(幸福), 행운(幸運) * ‘幸’은 ‘행복 행’이라고도 합니다."
壁,벽 벽,土辟,辟(: 임금(가를) 벽) 土(흙 토),ok,벽 벽(壁),http://tonghanja.com/%eb%b2%bd-%eb%b2%bd%e5%a3%81/,"壁 .4급Ⅱ 辟: : 임금(가를) 벽 土: 흙 토 가르려고(辟) 흙(土)으로 지은 것은? 공간을 가르려고 흙 으로 지은 것은 ‘ 벽 ’이지요. 벽 벽 벽 (壁: 공간을 가르는 수직 건축물 ) , 토벽(土壁), 장벽(障壁)"
避,피할 피,辟辵,辟(임금(가를) 벽) 辶(갈 착),ok,피할 피(避),http://tonghanja.com/%ed%94%bc%ed%95%a0-%ed%94%bc%e9%81%bf/,"避 .4급 辟: 임금(가를) 벽 辶: 갈 착 갈라져(辟) 가는(辶) 것은? 상대와 갈라져 다른 데로 가는 것은 ‘ 피함 ’이지요. 피할 피 피 함 (避 함 : 어떤 일을 당하지 않으려고 몸을 옮김 ) , 도피(逃避), 회피(回避)"
辟,임금 벽,尸辛,尸(주검(몸) 시  ㅁ: 모양) 辛(매울(형벌칼) 신),ok,임금 벽(辟),http://tonghanja.com/%ec%9e%84%ea%b8%88-%eb%b2%bd%e8%be%9f/,"辟 .특급 尸: 주검(몸) 시 ㅁ: 모양 辛: 매울(형벌칼) 신 몸(尸)에서 살점(ㅁ) 떨어지게 형벌칼(辛)로 하는 것은? ‘ 辟 ’은 몸 에서 살점 떨어지게 형벌칼 로 하는 것인 ‘ 가름 ’을 나타낸 글자였으나, 후에 그렇게 하도록 형벌을 내리는 이인 ‘ 임금 ’을 뜻하게 되었답니다. 임금 벽"
辭,말씀 사,辛,급(모양) 辛(매울(형벌칼) 신),ok,말씀 사(辭),http://tonghanja.com/%eb%a7%90%ec%94%80-%ec%82%ac%e8%be%ad/,"辭 .4급 : 모양 辛: 매울(형벌칼) 신 양손( )에 수갑( )을 채우고 형벌칼(辛)로 가르면 하는 것은? 양손 에 수갑 을 채우고 형벌칼 로 가르면 하는 것은 ‘ 말씀 (말)’이지요. 말씀 사 언 사 ( 言 辭: 말) , 찬사(讚辭), 사전(辭典)"
亂,어지러울 란,,,none,어지러울 란(亂),http://tonghanja.com/%ec%96%b4%ec%a7%80%eb%9f%ac%ec%9a%b8-%eb%9e%80%e4%ba%82/,"亂 .4급 양손( )에 수갑( )을 차고 꿇어앉은( ) 이가 한 것은? 양손 에 수갑 을 차고 꿇어앉은 이가 한 것은 법이나 도덕을 어지럽힘(‘ 어지러움 ’)이지요. ☞ : 손목 구멍( )이 뚫린 두 나무토막( )에 비녀장(ㅡ)을 지른 ‘수갑(手匣)’을 본뜬 글자 어지러울 란 문 란 ( 紊 亂: 법이나 도덕을 어지럽힘 *紊·1급·어지러울 문 ) , 혼란(混亂), 난동(亂動)"
敵,원수 적,啇攵,啇(고문할 적) 攵(칠 복),ok,원수 적(敵),http://tonghanja.com/%ec%9b%90%ec%88%98-%ec%a0%81%e6%95%b5/,"敵 .4급Ⅱ 啇: 고문할 적 攵: 칠 복 뿌리 (啇) 뽑힐 때까지 치는(攵) 상대는? ‘ 뿌리 뽑힐 때까지’ 즉 ‘완전히 제거될 때까지’ 치는 상대는 ‘ 원수 (怨讐)’이지요. 원수 적 적 (敵: 원수) , 적군(敵軍), 강적(強敵)"
適,맞을 적,啇辵,啇(뿌리 적) 辶(갈 착),ok,맞을 적(適),http://tonghanja.com/%eb%a7%9e%ec%9d%84-%ec%a0%81%e9%81%a9/,"適 .4급 啇: 뿌리 적 辶: 갈 착 뿌리(啇)가 가는(辶) 것은? 뿌리 가 땅속에서 자리를 찾아 가는 것은 ‘알 맞음 ’이지요. 맞을 적 적 당 (適 當 : 알 맞음) , 적절(適切), 적합(適合)"
摘,들추어낼 적,啇手,扌(손 수) 啇(고문할 적),ok,들추어낼 적(摘),http://tonghanja.com/%eb%93%a4%ec%b6%94%ec%96%b4%eb%82%bc-%ec%a0%81%e6%91%98/,"摘 .3급Ⅱ 扌: 손 수 啇: 고문할 적 손(扌)으로 뿌리(啇)를 뽑는 것은? 손 으로 뿌리 를 뽑는 것은 뿌리를 ‘ 들추어냄 ’이지요. 들추어낼 적 적 출 (摘 出 : 들추어냄 ) , 적발(摘發), 지적(指摘)"
滴,물방울 적,啇水,氵(물 수) 啇(뿌리 적),ok,물방울 적(滴),http://tonghanja.com/%eb%ac%bc%eb%b0%a9%ec%9a%b8-%ec%a0%81%e6%bb%b4/,"滴 .3급 氵: 물 수 啇: 뿌리 적 물(氵)의 뿌리(啇)는? ‘ 물 의 뿌리 ’ 즉 ‘물의 근본(根本)’은 ‘ 물방울 ’이지요. 물방울 적 수 적 ( 水 滴: 물방울) , 수적천석(水滴穿石) * 근본 (根本): 1. 초목의 뿌리 2. 사물이 발생하는 근원"
啇,뿌리 적,古立,立(설) 립(모양) 古(예(오랠) 고),ok,뿌리 적(啇),http://tonghanja.com/%eb%bf%8c%eb%a6%ac-%ec%a0%81%e5%95%87/,啇 .무급 立: 설 립 : 모양 古: 예(오랠) 고 오래(古) 서게 (立) 떠받치는( ) 것은? 식물을 오래 서게 땅속에서 떠받치는 기관 은 ‘ 뿌리 ’이지요. 뿌리 적
帝,임금 제,,,none,임금 제(帝),http://tonghanja.com/%ec%9e%84%ea%b8%88-%ec%a0%9c%e5%b8%9d/,"帝 .4급 꽃(帝) 같은 분은? 꽃 같이 아름답고 고귀한 분은 ‘ 임금 ’이지요. 임금 제 제 왕 (帝 王 : 임금) , 제국(帝國), 황제(皇帝)"
宰,재상 재,宀辛,宀(집 면) 辛(매울(형벌칼) 신),ok,재상 재(宰),http://tonghanja.com/%ec%9e%ac%ec%83%81-%ec%9e%ac%e5%ae%b0/,宰 .3급 宀: 집 면 辛: 매울(형벌칼) 신 집(宀)을 형벌칼(辛)로 다스리는 이는? 국가(國家)라는 집 을 형벌칼 로 다스리는 이는 ‘ 재상 ’이지요. 재상 재 재 상 (宰 相 : 왕을 도와 모든 관원을 다스리는 벼슬아치 )
辨,분별할 변,刀辛,辛(매울(형벌칼) 신) 刂(칼 도) 辛(매울(형벌칼) 신),ok,분별할 변(辨),http://tonghanja.com/%eb%b6%84%eb%b3%84%ed%95%a0-%eb%b3%80%e8%be%a8/,"辨 .3급 辛: 매울(형벌칼) 신 刂: 칼 도 辛: 매울(형벌칼) 신 형벌칼( ) 사이에서 칼(刂)로 나누듯 하는 것은? 형벌칼 사이에서 칼 로 나누듯 하는 것은 죄의 유무를 ‘ 분별함 (分別함)’이지요. 분별할 변 변 별 (辨 別 : 옳고 그름 따위를 분별함) , 변명(辨明) , 변증법(辨證法)"
辯,말씀 변,言辛,辛(매울(형벌칼) 신) 言(말씀(말) 언) 辛(매울(형벌칼) 신),ok,말씀 변(辯),http://tonghanja.com/%eb%a7%90%ec%94%80-%eb%b3%80%e8%be%af/,"辯 .4급 辛: 매울(형벌칼) 신 言: 말씀(말) 언 辛: 매울(형벌칼) 신 형벌칼( ) 사이에서 하는 말(言)은? 형벌칼 사이에서 죄를 가릴 때 하는 말 은 ‘ 말씀 (말)’이지요. 말씀 변 변 호 (辯 護 : 피고를 옹호하는 말) , 변론(辯論), 항변(抗辯)"
