character,내DB,사이트
部,咅(침 뱉을 부) + ⻏(우부방 읍),咅(가를 부) 阝(고을 읍)
郵,垂(드리울 수) + ⻏(우부방 읍),垂(드리울 수) 阝(고을 읍)
都,者(놈 자) + ⻏(우부방 읍),者(사람 자) 阝(고을 읍)
釆,丿(삐침 별) + 米(쌀 미),급(모양) 米(쌀 미)
里,日(날 일) + 土(흙 토),田(밭 전) 土(흙(땅) 토)
重,𢆍(가래 삽) + 二(두 이),亻(사람 인) 車(모) 양(모양)
錦,金(쇠 금) + 帛(비단 백),金(쇠(금속) 금) 白(흰 백) 巾(수건(천) 건)
鎖,金(쇠 금) + 𧴪(자잘할 쇄),金(쇠 금) 小(작을 소) 貝(조개 패)
開,門(문 문) + 开(열 개),門(문) 문(모) 양(양손 공)
附,阝(좌부변 부) + 付(줄 부),阝(언덕 부) 亻(사람 인) 寸(마디(손) 촌)
陰,阝(좌부변 부) + 侌(그늘 음),阝(언덕 부) 今(이제(지금) 금) 云(이를(구름) 운)
陵,阝(좌부변 부) + 夌(언덕 릉(능)),阝(언덕 부) 土(흙(땅)) 토(모양) 夊(천천히 걸을 쇠)
陶,阝(좌부변 부) + 匋(질그릇 도),阝(언덕 부) 勹(쌀 포) 缶(장군 부)
隆,阝(좌부변 부) + 㚅(하늘에 예 지낼 륭(융)),生(날 생)
階,阝(좌부변 부) + 皆(다 개),阝(언덕 부) 比(견줄(여러) 비) 白(흰(박을) 백)
雄,隹(새 추) + 厷(팔뚝 굉),급(모양) 厶(모양) 隹(새 추)
難,隹(새 추) + 廿(스물 입) + 口(입 구) + 夫(지아비 부),隹(새 추)
雨,帀(두를 잡) + ⺀(얼음 빙) + ⺀(얼음 빙),冂(모양) 氺(물 수)
雪,雨(비 우) + 彐(돼지 머리 계),雨(비) 우(또(손) 우)
電,雨(비 우) + 电(번개 전),雨(비 우) 田(모) 양(모양)
韓,龺(-) + 韋(가죽 위),급(해 돋을 간) 韋(偉(클 위)의 생략형)
音,立(설 립(입)) + 日(날 일),立(설 립) 曰(가로(말할) 왈)
類,类(무리 류(유)) + 頁(머리 혈),米(쌀 미) 犬(개 견) 頁(머리 혈)
顧,頁(머리 혈) + 雇(품 팔 고),戶(집(지게) 호) 隹(새 추) 頁(머리 혈)
飾,𩙿(밥식 식) + 布(베 포),食(밥) 식(사람 인) 巾(수건(천) 건)<-------------
養,𦍌(양 양) + 八(여덟 팔) + 良(어질 량(양)),羊(양 양) 食(밥 식)  <-------------
麗,鹿(사슴 록(녹)) + 丽(고울 려(여)),鹿(사슴 록) <-------------
鼻,自(스스로 자) + 畀(줄 비),自(스스로(코) 자) 田(밭 전) 廾(양손 공)  <-------------
